epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.94063,1.59273,2.81438,2.21179,0.003,0.9,0.43822,0.1397,1.86364,3.60455,3.37759,4e-05,4e-05,4e-05
2,12.8074,1.37741,2.69549,1.93938,0.00333,1,0.73661,0.21661,1.71931,3.51046,3.03792,9.802e-05,9.802e-05,9.802e-05
3,18.5881,1.19749,2.68161,1.77089,0.00333,1,0.91132,0.34303,1.40979,3.35864,2.38929,0.000153664,0.000153664,0.000153664
4,23.8284,1.10387,2.47065,1.57024,0.00333,1,0.98591,0.44342,1.1206,3.2511,1.86871,0.000206932,0.000206932,0.000206932
5,28.6306,1.05892,2.27824,1.48711,0.00333,1,0.995,0.58486,1.01573,3.1094,1.73875,0.000257824,0.000257824,0.000257824
6,33.3744,0.95026,1.99725,1.38877,0.00333,1,0.995,0.59958,0.92656,3.10771,1.56538,0.00030634,0.00030634,0.00030634
7,38.1616,1.04646,1.86897,1.4547,0.00333,1,0.995,0.59096,1.09747,3.03964,1.70095,0.00035248,0.00035248,0.00035248
8,42.6289,0.96896,1.80413,1.4407,0.00333,1,0.995,0.49425,1.24857,3.212,1.9589,0.000396244,0.000396244,0.000396244
9,47.4086,0.94401,1.5959,1.31483,0.00333,1,0.995,0.6894,0.93153,3.00362,1.65185,0.000437632,0.000437632,0.000437632
10,52.6716,1.02248,1.50821,1.44598,0.00333,1,0.96773,0.61641,0.98332,2.93091,1.66312,0.000476644,0.000476644,0.000476644
11,57.9649,1.02323,1.51016,1.45164,0.95139,1,0.995,0.44581,1.40185,2.94812,2.35233,0.00051328,0.00051328,0.00051328
12,62.5896,0.99426,1.45118,1.40543,1,0.97376,0.995,0.40097,1.60204,3.11428,3.11703,0.00054754,0.00054754,0.00054754
13,67.185,1.12092,1.37474,1.50635,1,0.89531,0.995,0.39447,1.58116,2.94698,2.8685,0.000579424,0.000579424,0.000579424
14,71.8022,0.98375,1.18048,1.41017,0.75298,0.61073,0.86673,0.39259,1.36994,3.00517,2.31286,0.000608932,0.000608932,0.000608932
15,76.545,0.96604,1.16504,1.33975,1,0.77283,0.995,0.46591,1.34203,2.74531,2.20337,0.000636064,0.000636064,0.000636064
16,82.4912,1.02016,1.30701,1.50123,1,0.95528,0.995,0.48736,1.3909,2.75357,2.37719,0.00066082,0.00066082,0.00066082
17,88.3125,1.03237,1.25986,1.45567,0.62752,0.7,0.755,0.29403,1.56761,2.97097,2.53381,0.0006832,0.0006832,0.0006832
18,94.0074,1.03083,1.2151,1.43168,0.65325,0.9,0.87762,0.39246,1.45177,2.98132,2.2102,0.000703204,0.000703204,0.000703204
19,99.9795,1.02666,1.23331,1.42233,1,0.63652,0.995,0.51527,1.38797,2.76277,2.17742,0.000720832,0.000720832,0.000720832
20,105.543,1.08853,1.30155,1.46278,1,0.776,0.94382,0.40188,1.77155,2.74436,2.80421,0.000736084,0.000736084,0.000736084
21,111.105,0.89991,1.16118,1.31873,1,0.96562,0.995,0.49512,1.54806,2.4804,2.49028,0.00074896,0.00074896,0.00074896
22,116.984,0.85414,1.08665,1.30999,0.88581,1,0.97682,0.59679,1.27658,2.36406,2.08901,0.00075946,0.00075946,0.00075946
23,122.643,0.89484,1.0244,1.27414,0.88493,1,0.995,0.65445,1.16509,2.35657,2.00585,0.000767584,0.000767584,0.000767584
24,128.506,0.69675,0.95372,1.17619,0.85917,0.9,0.96192,0.58328,1.36337,2.23767,2.25769,0.000773332,0.000773332,0.000773332
25,134.288,0.98384,1.10324,1.40091,0.88095,0.9,0.94167,0.54282,1.45448,2.23001,2.54917,0.000776704,0.000776704,0.000776704
26,139.963,0.90799,1.12348,1.30294,0.93772,0.9,0.97833,0.57361,1.50442,2.21445,2.68102,0.0007777,0.0007777,0.0007777
27,145.636,0.95555,1.1047,1.38218,0.88571,0.77714,0.92675,0.51885,1.58625,2.32367,2.6052,0.00077632,0.00077632,0.00077632
28,151.305,0.95631,1.03367,1.2812,0.88864,0.79819,0.81477,0.38311,1.81844,2.40324,2.82352,0.000772564,0.000772564,0.000772564
29,156.945,0.8431,1.02114,1.24304,0.88864,0.79819,0.81477,0.38311,1.81844,2.40324,2.82352,0.000766432,0.000766432,0.000766432
30,162.779,0.89718,1.00135,1.3281,0.62966,0.5,0.63595,0.40381,1.57629,2.52272,2.64182,0.000757924,0.000757924,0.000757924
31,168.704,0.96861,1.02583,1.37547,0.83998,0.7,0.8825,0.45978,1.45335,2.4492,2.3269,0.00074704,0.00074704,0.00074704
32,174.409,0.94394,1.09371,1.45514,1,0.79941,0.97192,0.56572,1.3718,2.46085,2.19031,0.00073378,0.00073378,0.00073378
33,180.082,0.90701,0.99004,1.31621,1,0.79941,0.97192,0.56572,1.3718,2.46085,2.19031,0.000718144,0.000718144,0.000718144
34,185.821,0.86499,0.99859,1.26229,1,0.98552,0.995,0.52437,1.53042,2.14409,2.32111,0.0006932,0.0006932,0.0006932
35,191.614,0.80463,0.97203,1.24816,0.9873,1,0.995,0.46908,1.67229,1.91802,2.72956,0.0006536,0.0006536,0.0006536
36,197.425,0.7977,0.99146,1.22884,1,0.9857,0.995,0.52761,1.46769,1.76075,2.48359,0.000614,0.000614,0.000614
37,203.059,0.95654,0.94717,1.36734,1,0.9857,0.995,0.52761,1.46769,1.76075,2.48359,0.0005744,0.0005744,0.0005744
38,208.831,0.77601,0.92855,1.22059,0.99552,1,0.995,0.55557,1.38942,1.76865,2.28201,0.0005348,0.0005348,0.0005348
39,214.621,0.88217,0.96712,1.39385,1,0.98765,0.995,0.53026,1.44685,1.85106,2.13392,0.0004952,0.0004952,0.0004952
40,220.288,0.83137,0.98536,1.23777,1,0.97548,0.995,0.44342,1.62459,2.07203,2.40291,0.0004556,0.0004556,0.0004556
41,225.817,0.70224,1.46127,1.24896,1,0.97548,0.995,0.44342,1.62459,2.07203,2.40291,0.000416,0.000416,0.000416
42,231.578,0.69203,1.47772,1.29437,1,0.99051,0.995,0.53234,1.57613,1.86694,2.32887,0.0003764,0.0003764,0.0003764
43,237.113,0.64786,1.47263,1.2652,1,0.99879,0.995,0.5682,1.50345,1.62766,2.24287,0.0003368,0.0003368,0.0003368
44,242.697,0.60447,1.23301,1.16365,0.99375,1,0.995,0.59142,1.41755,1.51071,2.10428,0.0002972,0.0002972,0.0002972
45,248.406,0.59639,1.25086,1.22887,0.99375,1,0.995,0.59142,1.41755,1.51071,2.10428,0.0002576,0.0002576,0.0002576
46,254.097,0.62898,1.24612,1.17173,0.991,1,0.995,0.56938,1.3319,1.50221,1.96792,0.000218,0.000218,0.000218
47,259.979,0.55309,1.18027,1.16848,0.99244,1,0.995,0.62671,1.29611,1.48476,1.91928,0.0001784,0.0001784,0.0001784
48,265.687,0.56945,1.255,1.22031,0.99234,1,0.995,0.62007,1.28399,1.48016,1.9189,0.0001388,0.0001388,0.0001388
49,271.16,0.50745,1.18572,1.13214,0.99234,1,0.995,0.62007,1.28399,1.48016,1.9189,9.92e-05,9.92e-05,9.92e-05
50,276.743,0.57998,1.1671,1.14465,0.99252,1,0.995,0.62229,1.25373,1.44072,1.90479,5.96e-05,5.96e-05,5.96e-05
